TICKER,TAG,AVER_PRICE,STOCK_NUM,STOCK_QUANTITY
AAPL,BICTECH,120.96,3.82,462.07
GOOG,BIGTECH,117.26,1.76,206.38
KO,DIVIDEND,62.87,2.84,178.55
AMZN,BIGTECH,113.06,1.18,133.41
XOM,STABLE,90.58,4.59,415.76
F,STABLE,11.54,3.87,44.66
DIS,STABLE,102.04,1.28,130.55
